organisation_code,name,address1,address2,address3,city,county,postcode,opendate,closedate,telephone,practice_type
S10498,BRECHIN MEDICAL PRACTICE,BRECHIN HEALTH CENTRE,INFIRMARY STREET,,BRECHIN,ANGUS,DD9 7AN,19721001,,01356 624411,4
S10553,BRIDGE OF EARN SURGERY,MAIN STREET,BRIDGE OF EARN,,PERTH,PERTHSHIRE,PH2 9PN,19800801,,01738 812000,4
S10604,CARNOUSTIE MEDICAL GROUP,DUNDEE STREET,,,CARNOUSTIE,ANGUS,DD7 7RB,19751201,20060331,01241 859888,4
S10638,CARNOUSTIE MEDICAL GROUP,PARKVIEW PRIMARY CARE CENTRE,BARRY ROAD,,CARNOUSTIE,ANGUS,DD7 7RB,20060401,,01241 859888,4
S10657,CARNOUSTIE MEDICAL GROUP,DUNDEE STREET,,,CARNOUSTIE,ANGUS,DD7 7RB,19770301,20060331,01241 859888,4
S10708,COMRIE MEDICAL CENTRE,STROWAN ROAD,COMRIE,,CRIEFF,PERTHSHIRE,PH6 2EP,19900401,,01764 670217,4
S10751,COUPAR ANGUS MEDICAL CENTRE,CANDLEHOUSE LANE,COUPAR ANGUS,,BLAIRGOWRIE,PERTHSHIRE,PH13 9DD,19900401,,01828 627318,4
S10799,COUPAR ANGUS MEDICAL CENTRE,CANDLEHOUSE LANE,COUPAR ANGUS,,BLAIRGOWRIE,PERTHSHIRE,PH13 9DD,19810426,,01828 627312,4
S10835,THE RED PRACTICE,CRIEFF HEALTH CENTRE,KING STREET,,CRIEFF,PERTHSHIRE,PH7 3SA,19900401,,01764 652456,4
S11005,PARK AVENUE MEDICAL CENTRE,PARK AVENUE,,,DUNDEE,ANGUS,DD4 6PP,19790801,,01382 462222,4
S11058,TAY COURT SURGERY,50 SOUTH TAY STREET,,,DUNDEE,ANGUS,DD1 1PF,19821001,,01382 228228,4
S11096,ANCRUM MEDICAL CENTRE,12 ANCRUM ROAD,,,DUNDEE,ANGUS,DD2 2HZ,19930101,,01382 669500,4
S11128,TAYBANK MEDICAL CENTRE,10 ROBERTSON STREET,,,DUNDEE,ANGUS,DD4 6EL,20140701,,01382 461588,4
S11132,WESTGATE HEALTH CENTRE,CHARLESTON DRIVE,,,DUNDEE,ANGUS,DD2 4AD,19921001,20060430,01382 668189,4
S11166,COLDSIDE MEDICAL PRACTICE,129 STRATHMARTINE ROAD,,,DUNDEE,ANGUS,DD3 8DB,19781001,,01382 880900,4
S11171,WESTGATE MEDICAL PRACTICE,WEST GATE HEALTH CENTRE,CHARLESTON DRIVE,,DUNDEE,ANGUS,DD2 4AD,20060501,,01382 668189,4
S11289,PRINCES STREET SURGERY,155 PRINCES STREET,,,DUNDEE,ANGUS,DD4 6DG,19781001,,01382 461090,4
S11306,BROUGHTY FAMILY HEALTHCARE,103 BROWN STREET,BROUGHTY FERRY,,DUNDEE,ANGUS,DD5 1EP,19960708,,01382 731331,4
S11363,HAWKHILL MEDICAL CENTRE,HAWKHILL,,,DUNDEE,ANGUS,DD1 5LA,19931001,,01382 669589,4
S11382,FAMILY MEDICAL GROUP,GREEN WING,WALLACETOWN HEALTH CENTRE,LYON STREET,DUNDEE,ANGUS,DD4 6RB,19790201,,01382 459519,4
S11414,RYEHILL MEDICAL PRACTICE,ST PETER STREET,,,DUNDEE,ANGUS,DD1 4JH,19931001,,01382 644466,4
S11433,TAYBANK MEDICAL CENTRE,10 ROBERTSON STREET,,,DUNDEE,ANGUS,DD4 6EL,19900401,20140630,01382 461588,4
S11486,ERSKINE PRACTICE,ARTHURSTONE MEDICAL CENTRE,39 ARTHURSTONE TERRACE,,DUNDEE,ANGUS,DD4 6QY,19900401,,01382 458333,4
S11537,TERRA NOVA HOUSE,43 DURA STREET,,,DUNDEE,ANGUS,DD4 6SW,19840501,20080430,01382 451100,4
S11645,MILL PRACTICE,ARTHURSTONE HEALTH CENTRE,39 ARTHURSTONE TERRACE,,DUNDEE,ANGUS,DD4 6QY,19830801,,01382 457629,4
S11650,TERRA NOVA MEDICAL PRACTICE LLP,TERRA NOVA HOUSE,43 DURA STREET,,DUNDEE,ANGUS,DD4 6SW,20080501,,01382 451100,4
S11823,DOWNFIELD SURGERY,325 STRATHMARTINE ROAD,,,DUNDEE,ANGUS,DD3 8NE,19910101,,01382 812111,4
S11861,HILLBANK HEALTH CENTRE,1A CONSTITUTION STREET,,,DUNDEE,ANGUS,DD3 6NF,19911209,,01382 221976,4
S11931,MARYFIELD MEDICAL CENTRE,28 MAINS LOAN,,,DUNDEE,ANGUS,DD4 7AA,19740501,,01382 462292,4
S12046,WESTGATE HEATH CENTRE,CHARLESTON DRIVE,,,DUNDEE,ANGUS,DD2 4AD,19820401,20060430,01382 667408,4
S12210,ANCRUM MEDICAL CENTRE,12 ANCRUM ROAD,,,DUNDEE,ANGUS,DD2 2HZ,19900401,,01382 669316,4
S12281,NETHERGATE MEDICAL CENTRE,2 TAY SQUARE,,,DUNDEE,ANGUS,DD1 1PB,20020401,,01382 221527,4
S12493,TAYBANK MEDICAL CENTRE,10 ROBERTSON STREET,,,DUNDEE,ANGUS,DD4 6EL,19891001,20140630,01382 461588,4
S12559,TERRA NOVA HOUSE,43 DURA STREET,,,DUNDEE,ANGUS,DD4 6SW,19761001,20080430,01382 451100,4
S12633,ARDLER SURGERY,TURNBERRY AVENUE,ARDLER,,DUNDEE,ANGUS,DD2 3TP,19900807,20120124,01382 443522,4
S12831,LOCHEE HEALTH CENTRE,1 MARSHALL STREET,LOCHEE,,DUNDEE,ANGUS,DD2 3BR,19860701,,01382 611283,4
S12883,WHITFIELD CLINIC,123 WHITFIELD DRIVE,,,DUNDEE,ANGUS,DD4 0DP,19850527,20080430,01382 508410,4
S12901,WHITFIELD SURGERY,THE CRESCENT,71 LOTHIAN CRESCENT,,DUNDEE,ANGUS,DD4 0HU,20080501,,01382 508410,0
S12991,STOBSWELL MEDICAL CENTRE,163 ALBERT STREET,,,DUNDEE,ANGUS,DD4 6PX,19900401,,01382 461363,4
S13049,CRAIGVINEAN SURGERY,LITTLE DUNKELD,,,DUNKELD,PERTHSHIRE,PH8 0AD,19810401,,01350 727269,4
S13091,EDZELL HEALTH CENTRE,HIGH STREET,EDZELL,,BRECHIN,ANGUS,DD9 7TA,19900401,,01356 648209,4
S13142,THE CARSE MEDICAL PRACTICE,THE ROWANS,HIGH STREET,ERROL,PERTH,PERTHSHIRE,PH2 7QJ,19911001,,01821 642248,4
S13195,RAVENSWOOD SURGERY,NEW ROAD,,,FORFAR,ANGUS,DD8 2AE,19900401,,01307 463558,4
S13231,ACADEMY MEDICAL CENTRE,ACADEMY STREET,,,FORFAR,ANGUS,DD8 2HA,19810601,,01307 462316,4
S13284,LOUR ROAD GROUP PRACTICE,3 LOUR ROAD,,,FORFAR,ANGUS,DD8 2AS,19841001,,01307 463122,4
S13335,FRIOCKHEIM HEALTH CENTRE,WESTGATE,FRIOCKHEIM,,ARBROATH,ANGUS,DD11 4TX,19830101,,01241 828444,4
S13369,INVERGOWRIE MEDICAL PRACTICE,30 ERROL ROAD,INVERGOWRIE,,DUNDEE,ANGUS,DD2 5AD,20050405,,01382 562271,0
S13439,THE SURGERY,KINLOCH RANNOCH,,,PITLOCHRY,PERTHSHIRE,PH16 5PR,19800406,20080331,01882 632216,4
S13481,ST SERF'S PRACTICE,LOCH LEVEN HEALTH CENTRE,MUIRS,,KINROSS,PERTHSHIRE,KY13 8FP,20010601,,01577 862112,4
S13496,ORWELL PRACTICE,LOCH LEVEN HEALTH CENTRE,MUIRS,,KINROSS,PERTHSHIRE,KY13 8FP,20000228,,01577 862112,4
S13532,KIRRIEMUIR MEDICAL PRACTICE,TANNAGE BRAE,,,KIRRIEMUIR,ANGUS,DD8 4ES,19781001,,01575 573333,4
S13571,MONIFIETH HEALTH CENTRE,VICTORIA STREET,MONIFIETH,,DUNDEE,ANGUS,DD5 4LX,19880401,,01382 534301,4
S13621,TOWNHEAD PRACTICE,LINKS HEALTH CENTRE,FRANK WOOD WAY,,MONTROSE,ANGUS,DD10 8TY,19780401,,01674 676161,4
S13660,CASTLEGAIT SURGERY,LINKS HEALTH CENTRE,FRANK WOOD WAY,,MONTROSE,ANGUS,DD10 8TY,19781201,,01674 672554,4
S13706,ANNAT BANK PRACTICE,LINKS HEALTH CENTRE,FRANK WOOD WAY,,MONTROSE,ANGUS,DD10 8TY,19780101,,01674 673400,4
S13848,KINGS PRACTICE,GLOVER STREET MEDICAL CENTRE,133 GLOVER STREET,,PERTH,PERTHSHIRE,PH2 0JB,19750701,,01738 621844,4
S13891,"GREEN PRACTICE,WHITEFRIARS SURGERY",WHITEFRIARS STREET,,,PERTH,PERTHSHIRE,PH1 1PP,19770701,,01738 627912,4
S13941,VICTORIA PRACTICE,GLOVER STREET MEDICAL CENTRE,133 GLOVER STREET,,PERTH,PERTHSHIRE,PH2 0JB,19820801,,01738 639748,4
S13975,"MAUVE PRACTICE,DRUMHAR HEALTH CENTRE",NORTH METHVEN STREET,,,PERTH,PERTHSHIRE,PH1 5PD,19930823,,01738 622421,4
S14037,THE TAYMOUNT SURGERY,1 TAYMOUNT TERRACE,,,PERTH,PERTHSHIRE,PH1 1NU,19720801,,01738 627117,4
S14249,"RED PRACTICE,WHITEFRIARS SURGERY",WHITEFRIARS STREET,,,PERTH,PERTHSHIRE,PH1 1PP,19871101,,01738 625842,4
S14291,THE MEDICAL CENTRE,CALEDONIAN ROAD,,,PERTH,PERTHSHIRE,PH2 8HH,19870501,,01738 628234,4
S14342,"YELLOW PRACTICE,DRUMHAR HEALTH CENTRE",NORTH METHVEN STREET,,,PERTH,PERTHSHIRE,PH1 5PD,19770401,,01738 621726,4
S14501,ATHOLL MEDICAL CENTRE,FERRY ROAD,,,PITLOCHRY,PERTHSHIRE,PH16 5FG,19781001,,01796 472558,4
S14569,STANLEY MEDICAL CENTRE,43 SHIELHILL PLACE,STANLEY,,PERTH,PERTHSHIRE,PH1 4NN,19810801,,01738 828294,4
S15006,CENTRAL HEALTHCARE,DRUMHAR HEALTH CENTRE,DRUMHAR COURT,NORTH METHVEN STREET,PERTH,PERTHSHIRE,PH1 5PD,20040126,20121104,01738 564261,4
S15858,RM CONDOR,CONDOR,,,ARBROATH,ANGUS,DD11 3SP,20120521,,,0
S15909,"HEALTH,HOMELESS OUTREACH TEAM",WALLACETOWN HEALTH CENTRE,LYON STREET,,DUNDEE,ANGUS,DD4 6RB,20051220,,01382 443526,0
S15913,THE HOMEOPATHIC CLINIC,EAST LODGE,JEDBURGH ROAD,,DUNDEE,ANGUS,DD2 1SP,20050613,,,4
S15928,TAYSIDE OUT OF HOURS (3),ORTHOPAEDIC DEPARTMENT,PERTH ROYAL INFIRMARY,,PERTH,PERTHSHIRE,PH1 1NX,20041006,,01738 473845,2
S15932,WALLACETOWN COMMUNITY NURSING,WALLACETOWN HEALTH CENTRE,LYON STREET,,DUNDEE,ANGUS,DD4 6RB,20040525,,01382 459608,0
S15947,TAYSIDE OUT OF HOURS (1),WALLACETOWN HEALTH CENTRE,LYON STREET,,DUNDEE,ANGUS,DD4 6RB,20041006,,,2
S15951,TAYSIDE OUT OF HOURS (2),ARBROATH INFIRMARY,ROSEMOUNT ROAD,,ARBROATH,ANGUS,DD11 2AT,20041006,,,2
S15966,THE HOWIE WING,HILLBANK HEALTH CENTRE,1A CONSTITUTION STREET,,DUNDEE,ANGUS,DD3 6NF,20040301,20041005,01382 205205,4
S15971,WALLACETOWN HEALTH CENTRE,LYON STREET,,,DUNDEE,ANGUS,DD4 6RB,20040401,20041005,01382 459519,4
S15985,ANGUS COUNTY EMERGENCY SERVICE,ANGUS NHS TRUST,ROSEMOUNT ROAD,,ARBROATH,ANGUS,DD11 2AT,20040107,20041005,01241 434311,4
S16013,ROXBURGH STREET SURGERY,10 ROXBURGH STREET,,,GALASHIELS,SELKIRKSHIRE,TD1 1PF,19790801,,01896 752557,4
S16028,DUNS MEDICAL PRACTICE,THE KNOLL,,,DUNS,BERWICKSHIRE,TD11 3EL,19860801,20070930,01361 883322,4
S16032,JEDBURGH MEDICAL PRACTICE,THE HEALTH CENTRE,QUEEN STREET,,JEDBURGH,ROXBURGHSHIRE,TD8 6EN,19761201,,01835 863361,4
S16047,NEWCASTLETON MEDICAL PRACTICE,MOSS ROAD,,,NEWCASTLETON,ROXBURGHSHIRE,TD9 0RU,19620601,,01387 375100,4
S16051,EILDON SURGERY,AUCTION MARKET,NEWTOWN ST. BOSWELLS,,MELROSE,ROXBURGHSHIRE,TD6 0PP,19870101,,01835 822777,4
S16066,MERSE MEDICAL PRACTICE,SOUTH CROFTS,CHIRNSIDE,,DUNS,BERWICKSHIRE,TD11 3XP,20100401,,01890 818253,4
S16085,SELKIRK MEDICAL PRACTICE,THE HEALTH CENTRE,VIEWFIELD LANE,,SELKIRK,SELKIRKSHIRE,TD7 4LJ,19800701,,01750 21674,4
S16121,ST RONAN'S PRACTICE,ST RONAN'S HEALTH CENTRE,,,INNERLEITHEN,PEEBLESSHIRE,EH44 6PG,19740401,,01896 830203,4
S16136,KELSO MEDICAL GROUP,KELSO HEALTH CENTRE,INCH ROAD,,KELSO,ROXBURGHSHIRE,TD5 7LF,19840801,,01573 224424,4
S16141,O'CONNELL STREET MEDICAL PRACTICE,O'CONNELL STREET MEDICAL CENTRE,OCONNELL STREET,,HAWICK,ROXBURGHSHIRE,TD9 9HU,19800801,,01450 372276,4
S16160,THE NEIDPATH PRACTICE,HAY LODGE HEALTH CENTRE,NEIDPATH ROAD,,PEEBLES,PEEBLESSHIRE,EH45 8JG,19900401,,01721 720380,4
S16174,WEST LINTON MEDICAL PRACTICE,THE HEALTH CENTRE,DEANFOOT ROAD,,WEST LINTON,PEEBLESSHIRE,EH46 7EX,19761101,,01968 660808,4
S16193,THE ELLWYN PRACTICE,THE HEALTH CENTRE,CURRIE ROAD,,GALASHIELS,SELKIRKSHIRE,TD1 2UA,19810801,,01896 661355,4
S16206,COLDSTREAM MEDICAL PRACTICE,THE HEALTH CENTRE,KELSO ROAD,,COLDSTREAM,BERWICKSHIRE,TD12 4LQ,19840801,,01890 882711,4
S16211,THE TWEED PRACTICE,HAYLODGE CLINIC HOUSE,NEIDPATH ROAD,,PEEBLES,PEEBLESSHIRE,EH45 8JG,19740101,,01721 720601,4
S16230,BRAESIDE MEDICAL PRACTICE,THE HEALTH CENTRE,CURRIE ROAD,,GALASHIELS,SELKIRKSHIRE,TD1 2UA,20020401,,01896 661360,4
S16244,GLENFIELD MEDICAL PRACTICE,GALASHIELS HEALTH CENTRE,CURRIE ROAD,,GALASHIELS,SELKIRKSHIRE,TD1 2UA,20020401,,01896 661363,4
S16259,WAVERLEY MEDICAL PRACTICE,THE HEALTH CENTRE,CURRIE ROAD,,GALASHIELS,SELKIRKSHIRE,TD1 2UA,20010401,,01896 661350,4
S16367,BECS (BORDERS EMERGENCY CARE),BORDERS GENERAL HOSPITAL,,,MELROSE,ROXBURGHSHIRE,TD6 9BS,20020401,,,2
S16422,CHIRNSIDE MEDICAL PRACTICE,SOUTH CROFTS,CHIRNSIDE,,DUNS,BERWICKSHIRE,TD11 3XP,19851001,20100331,01890 818253,4
S16475,GREENLAW SURGERY,DUNS ROAD,GREENLAW,,DUNS,BERWICKSHIRE,TD10 6XJ,19900219,,01361 810216,4
S16507,EYEMOUTH MEDICAL PRACTICE,THE HEALTH CENTRE,HOUNDLAW PARK,,EYEMOUTH,BERWICKSHIRE,TD14 5DD,19930701,,01890 750383,4
S16511,LAUDER MEMORIAL MEDICAL CENTRE,2 EDINBURGH ROAD,,,LAUDER,BERWICKSHIRE,TD2 6TW,19970101,20110630,01578 722267,4
S16545,TEVIOT MEDICAL PRACTICE,TEVIOT ROAD,,,HAWICK,ROXBURGHSHIRE,TD9 9DT,19980901,,01450 370999,4
S16550,"STOW,LAUDER HEALTH",STOW HEALTH CENTRE,STATION ROAD,STOW,GALASHIELS,SELKIRKSHIRE,TD1 2SQ,20041001,,01896 661440,4
S16564,EARLSTON MEDICAL PRACTICE,EARLSTON HEALTH CENTRE,KIDGATE,MELROSE ROAD,EARLSTON,BERWICKSHIRE,TD4 6DW,20041001,,01896 848333,4
S16579,DUNS MEDICAL PARTNERSHIP,THE KNOLL,STATION ROAD,,DUNS,BERWICKSHIRE,TD11 3EL,20071001,20100331,01361 885030,4
S16583,DUNS MEDICAL GROUP,THE KNOLL,STATION ROAD,,DUNS,BERWICKSHIRE,TD11 3EL,20071001,,01361 885040,4
S16598,STOMA SERVICE,NHS BORDERS,WEST GROVE,WAVERLEY ROAD,MELROSE,ROXBURGHSHIRE,TD6 9SL,20080401,,,0
S18004,HOMEOPATHIC MEDICAL PRACTICE,GREYFRIARS MEDICAL CENTRE,33-37 CASTLE STREET,,DUMFRIES,DUMFRIESSHIRE,DG1 1DL,20021107,20130630,,4
S18057,LOCHINCH PRACTICE,WAVERLEY MEDICAL CENTRE,DALRYMPLE STREET,,STRANRAER,WIGTOWNSHIRE,DG9 7DW,19861201,,01776 707817,4
S18095,LOCH REE PRACTICE,WAVERLEY MEDICAL CENTRE,DALRYMPLE STREET,,STRANRAER,WIGTOWNSHIRE,DG9 7DW,19911001,,01776 707814,4
S18112,DR I M RITCHIE,THE CLINIC,DRUMMORE,,STRANRAER,WIGTOWNSHIRE,DG9 9QQ,19900401,,01776 840205,4
S18127,SOUTHERN MACHARS GROUP PRACTICE,3 ST JOHN STREET,WHITHORN,,NEWTON STEWART,WIGTOWNSHIRE,DG8 8PS,19641201,20140630,01988 500218,4
S18131,"DR J W M DUNN,PARTNER",HIGH VENNEL,WIGTOWN,,NEWTON STEWART,WIGTOWNSHIRE,DG8 9JQ,19800811,,01988 402210,4
S18151,CAIRNSMORE MEDICAL PRACTICE,HEALTH CENTRE,CREEBRIDGE,,NEWTON STEWART,WIGTOWNSHIRE,DG8 6NR,19770701,,01671 403609,4
S18165,THE MERRICK PRACTICE,THE SURGERY,ST. COUANS CRESCENT,KIRKCOWAN,NEWTON STEWART,WIGTOWNSHIRE,DG8 0HH,19870921,,01671 830206,4
S18170,DR I J N HAY AND PARTNER,THE CLINIC,GARDEN STREET,GATEHOUSE OF FLEET,CASTLE DOUGLAS,KIRKCUDBRIGHTSHIRE,DG7 2JU,19810801,20110531,01557 814437,4
S18184,CASTLE DOUGLAS MEDICAL GROUP,GARDEN HILL PRIMARY CARE CENTRE,2 GARDEN HILL ROAD,,CASTLE DOUGLAS,KIRKCUDBRIGHTSHIRE,DG7 3EE,19970701,,01556 505900,4
S18199,"DR R H MACK,PARTNERS",HEALTH CENTRE,ST. MARYS PLACE,TOWNEND,KIRKCUDBRIGHT,KIRKCUDBRIGHTSHIRE,DG6 4BJ,19870102,,01557 330755,4
S18216,"DR E A CARSON,PARTNERS",GARDEN HILL PRIMARY CARE CENTRE,2 GARDEN HILL ROAD,,CASTLE DOUGLAS,KIRKCUDBRIGHTSHIRE,DG7 3EE,19970701,,01556 502050,4
S18235,GLENKENS MEDICAL PRACTICE,HIGH STREET,NEW GALLOWAY,,CASTLE DOUGLAS,KIRKCUDBRIGHTSHIRE,DG7 3RN,19900401,,01644 420234,4
S18240,"DRS PFLANZ,CHRISTIE,CLARK-MAXWELL,LEYSHON",THE CLINIC,MILL ISLE,CRAIGNAIR STREET,DALBEATTIE,KIRKCUDBRIGHTSHIRE,DG5 4AY,19871002,,01556 610331,4
S18254,SHEBBURN MEDICAL PRACTICE,SHEBBURN SURGERY,MAIN STREET,NEW ABBEY,DUMFRIES,DUMFRIESSHIRE,DG2 8BY,19790801,,01387 850263,4
S18273,"DR P. CLAYTON,PARTNERS",ST. MICHAELS MEDICAL CENTRE,ST. MICHAELS BRIDGE ROAD,,DUMFRIES,DUMFRIESSHIRE,DG1 2PX,19780201,,01387 244950,4
S18288,"DR R Y SABUR,PARTNERS",LOCKTHORN MEDICAL CENTRE,EDINBURGH ROAD,,DUMFRIES,DUMFRIESSHIRE,DG1 1TR,19921231,,01387 259944,4
S18305,CHARLOTTE MEDICAL PRACTICE,LOCHFIELD ROAD PRIMARY CARE CENTRE,12-28 LOCHFIELD ROAD,,DUMFRIES,DUMFRIESSHIRE,DG2 9BH,19761001,,01387 267626,4
S18310,GILLBRAE MEDICAL PRACTICE,GILLBRAE ROAD,,,DUMFRIES,DUMFRIESSHIRE,DG1 4EJ,19801001,,01387 246282,4
S18324,UPPER NITHSDALE GROUP PRACTICE,SANQUHAR HEALTH CENTRE,STATION ROAD,,SANQUHAR,DUMFRIESSHIRE,DG4 6BT,19810112,,01659 50221,4
S18339,THORNHILL MEDICAL PRACTICE,THORNHILL HEALTH CENTRE,,,THORNHILL,DUMFRIESSHIRE,DG3 5AA,19710701,,01848 330208,4
S18343,CAIRN VALLEY MEDICAL PRACTICE,DUNSCORE HEALTH CENTRE,DUNSCORE,,DUMFRIES,DUMFRIESSHIRE,DG2 0UJ,19900401,,01387 820266,4
S18358,LOCKERBIE MEDICAL PRACTICE,LOCKERBIE HEALTH CENTRE,VICTORIA GARDENS,,LOCKERBIE,DUMFRIESSHIRE,DG11 2BJ,19780101,,01576 205502,4
S18377,LOCHMABEN MEDICAL GROUP,42-44 HIGH STREET,LOCHMABEN,,LOCKERBIE,DUMFRIESSHIRE,DG11 1NH,19851002,,01387 810215,4
S18381,CHURCH PLACE SURGERY,6 CHURCH PLACE,,,MOFFAT,DUMFRIESSHIRE,DG10 9ES,19511001,,01683 220197,4
S18396,"DRS SHARKEY,MORISETTY",HIGH STREET,,,MOFFAT,DUMFRIESSHIRE,DG10 9JP,19651101,,01683 220062,4
S18409,"DR W J G KIERAN,PARTNERS",GREENCROFT MEDICAL CENTRE (SOUTH),GREENCROFT WYND,,ANNAN,DUMFRIESSHIRE,DG12 6GS,19790701,,01461 202244,4
S18413,"DR N G KELLY,PARTNERS",GREENCROFT MEDICAL CENTRE (NORTH),GREENCROFT WYND,,ANNAN,DUMFRIESSHIRE,DG12 6GN,19740901,,01461 202745,4
S18428,GRETNA SURGERY,CENTRAL AVENUE,,,GRETNA,DUMFRIESSHIRE,DG16 5NA,19850901,,01461 338317,4
S18432,CANOBIE SURGERY,CANONBIE MEDICAL PRACTICE,BOWHOLM,,CANONBIE,DUMFRIESSHIRE,DG14 0UX,19910114,,013873 71313,4
S18447,LANGHOLM MEDICAL PARTNERSHIP,HEALTH CENTRE,,,LANGHOLM,DUMFRIESSHIRE,DG13 0JY,19900401,,013873 80355,4
S18451,"DR C R PALMER,PARTNER",THE SURGERY,MAIN ROAD,ECCLEFECHAN,LOCKERBIE,DUMFRIESSHIRE,DG11 3BT,19771126,,01576 300208,4
S18560,GREYFRIARS MEDICAL CENTRE,33-37 CASTLE STREET,,,DUMFRIES,DUMFRIESSHIRE,DG1 1DL,20000117,,01387 257752,4
S18574,"DR C M DONNELLY,PARTNER",SANDHEAD SURGERY,PIGGERY ROAD,,STRANRAER,WIGTOWNSHIRE,DG9 9DP,20010201,,01776 830262,4
S18589,"DR N T MISCAMPBELL,PARTNER",FOUR WINDS,GLENLUCE,,NEWTON STEWART,WIGTOWNSHIRE,DG8 0PU,20010201,,01581 300315,4
S18593,LOCHNAW PRACTICE,WAVERLEY MEDICAL CENTRE,DALRYMPLE STREET,,STRANRAER,WIGTOWNSHIRE,DG9 7DW,20020701,,01776 707811,4
S18611,SOUTHERN MACHARS PRACTICE,3 ST JOHN STREET,WHITHORN,,NEWTON STEWART,WIGTOWNSHIRE,DG8 8PS,20140701,,01988 500218,4
S19007,DGMED,"DUMFRIES,GALLOWAY ROYAL INFIRMARY",BANKEND ROAD,,DUMFRIES,DUMFRIESSHIRE,DG1 4AP,19990401,20041107,01387 247554,4
S19011,GENDOC,GALLOWAY COMMUNITY HOSPITAL,DALRYMPLE STREET,,STRANRAER,WIGTOWNSHIRE,DG9 7DQ,19990401,20041107,01387 257554,4
S20004,ANSTRUTHER MEDICAL PRACTICE,SKEITH HEALTH CENTRE,CRAIL ROAD,CELLARDYKE,ANSTRUTHER,FIFE,KY10 3FF,19880917,,01333 310352,4
S20057,AUCHTERMUCHTY PRACTICE,AUCHTERMUCHTY HEALTH CENTRE,12 CARSWELL WYND,AUCHTERMUCHTY,CUPAR,FIFE,KY14 7AW,19820801,,01337 828262,4
S20108,MUIREDGE SURGERY,MERLIN CRESCENT,BUCKHAVEN,,LEVEN,FIFE,KY8 1HJ,19870901,,01592 713299,4
S20151,"DRS BANDULARATNE,FLEMING,REES,WHEAL",BURNTISLAND MEDICAL GROUP,74 SOMERVILLE STREET,,BURNTISLAND,FIFE,KY3 9DF,19800801,,01592 872761,4
S20165,BURNTISLAND HEALTH CENTRE,74 SOMERVILLE STREET,,,BURNTISLAND,FIFE,KY3 9DF,19790701,20070311,01592 873321,4
S20170,DR HITCHCOCK'S PRACTICE,THE HEALTH CENTRE,74 SOMERVILLE STREET,,BURNTISLAND,FIFE,KY3 9DF,20070312,,01592 873321,4
S20216,CARDENDEN HEALTH CENTRE,WALLSGREEN ROAD,CARDENDEN,,LOCHGELLY,FIFE,KY5 0JE,19870101,20060930,01592 722440,4
S20235,CARDENDEN HEALTH CENTRE,WALLSGREEN ROAD,CARDENDEN,,LOCHGELLY,FIFE,KY5 0JE,19900401,20060930,01592 722441,4
S20240,THE HEALTH CENTRE,CARDENDEN HEALTH CENTRE,WALLSGREEN ROAD,CARDENDEN,LOCHGELLY,FIFE,KY5 0JE,20061001,20121231,01592 722441,4
S20254,WALLSGREEN MEDICAL PRACTICE,CARDENDEN HEALTH CENTRE,WALLSGREEN ROAD,CARDENDEN,LOCHGELLY,FIFE,KY5 0JE,20130101,,01592 722441,4
